id,product,category,quantity,unit_price,sale_date
49,Tool Pro,Hardware,4,79.99,2024-01-02
50,Novel X,Books,15,12.99,2024-11-15
51,Headphones,Electronics,18,59.99,2024-08-05
52,Gadget X,Home,22,14.99,2024-11-03
53,Widget A,Electronics,11,29.99,2024-04-28
54,Headphones,Electronics,19,59.99,2024-05-18
55,Cookbook,Books,20,18.99,2024-03-16
56,Book Alpha,Books,14,9.99,2024-12-20
57,Book Alpha,Books,3,9.99,2024-10-28
58,Gadget Y,Home,16,24.99,2024-02-12
59,Headphones,Electronics,11,59.99,2024-06-23
60,Drill Set,Hardware,16,89.99,2024-02-04
61,Cookbook,Books,2,18.99,2024-01-19
62,Widget A,Electronics,9,29.99,2024-05-26
63,Headphones,Electronics,17,59.99,2024-10-23
64,Desk Lamp,Home,22,34.99,2024-04-22
65,Tool Basic,Hardware,2,19.99,2024-11-02
66,Desk Lamp,Home,8,34.99,2024-03-06
67,Gadget X,Home,13,14.99,2024-05-18
68,Widget B,Electronics,15,49.99,2024-12-15
69,Gadget X,Home,11,14.99,2024-08-16
70,Book Beta,Books,6,14.99,2024-12-03
71,Desk Lamp,Home,9,34.99,2024-02-25
72,Cookbook,Books,3,18.99,2024-08-02
73,Headphones,Electronics,23,59.99,2024-04-04
74,Gadget Y,Home,12,24.99,2024-05-29
75,Cookbook,Books,11,18.99,2024-05-30
76,Headphones,Electronics,2,59.99,2024-01-28
77,Book Beta,Books,25,14.99,2024-04-10
78,Book Beta,Books,15,14.99,2024-06-16
79,Headphones,Electronics,2,59.99,2024-03-07
80,Gadget Y,Home,8,24.99,2024-01-14
81,Desk Lamp,Home,8,34.99,2024-11-01
82,Widget A,Electronics,21,29.99,2024-07-15
83,Gadget X,Home,7,14.99,2024-09-21
84,Tool Pro,Hardware,13,79.99,2024-04-28
85,Novel X,Books,25,12.99,2024-11-30
86,Tool Basic,Hardware,21,19.99,2024-02-18
87,Tool Pro,Hardware,18,79.99,2024-07-27
88,Headphones,Electronics,15,59.99,2024-05-07
89,Tool Pro,Hardware,11,79.99,2024-07-22
90,Throw Pillow,Home,22,19.99,2024-02-08
91,Desk Lamp,Home,6,34.99,2024-05-22
92,Wrench,Hardware,7,24.99,2024-04-20
93,Phone Case,Electronics,7,12.99,2024-07-30
94,Novel X,Books,7,12.99,2024-04-06
95,Tool Pro,Hardware,12,79.99,2024-07-05
96,Gadget Y,Home,15,24.99,2024-01-18
97,Gadget X,Home,9,14.99,2024-11-11
98,Book Alpha,Books,3,9.99,2024-04-05
99,Gadget Y,Home,11,24.99,2024-08-29
100,Widget A,Electronics,21,29.99,2024-06-05
101,Tool Pro,Hardware,11,79.99,2024-12-02
102,Cookbook,Books,11,18.99,2024-09-24
103,Tool Basic,Hardware,7,19.99,2024-03-31
104,Book Alpha,Books,12,9.99,2024-05-18
105,Book Alpha,Books,10,9.99,2024-03-27
106,Phone Case,Electronics,4,12.99,2024-08-01
107,Phone Case,Electronics,2,12.99,2024-05-03
108,Widget B,Electronics,22,49.99,2024-01-12
109,Tool Pro,Hardware,24,79.99,2024-02-16
110,Phone Case,Electronics,18,12.99,2024-02-05
111,Gadget Y,Home,22,24.99,2024-08-05
112,Gadget X,Home,19,14.99,2024-10-16
113,Gadget Y,Home,1,24.99,2024-05-23
114,Cookbook,Books,18,18.99,2024-11-18
115,Tool Basic,Hardware,22,19.99,2024-09-01
116,Wrench,Hardware,13,24.99,2024-04-03
117,Cookbook,Books,15,18.99,2024-12-29
118,Tool Basic,Hardware,6,19.99,2024-09-01
119,Tool Pro,Hardware,1,79.99,2024-04-27
120,Gadget Y,Home,21,24.99,2024-11-08
121,Book Alpha,Books,23,9.99,2024-05-18
122,Widget B,Electronics,18,49.99,2024-04-25
123,Gadget Y,Home,16,24.99,2024-12-30
124,Phone Case,Electronics,9,12.99,2024-09-11
125,Widget B,Electronics,24,49.99,2024-05-24
126,Gadget Y,Home,11,24.99,2024-12-18
127,Novel X,Books,11,12.99,2024-07-05
128,Gadget Y,Home,20,24.99,2024-10-09
129,Gadget Y,Home,7,24.99,2024-07-17
130,Widget A,Electronics,15,29.99,2024-07-25
131,Cookbook,Books,17,18.99,2024-11-07
132,Widget A,Electronics,4,29.99,2024-06-03
133,Tool Basic,Hardware,8,19.99,2024-06-10
134,Headphones,Electronics,24,59.99,2024-04-04
135,Tool Basic,Hardware,14,19.99,2024-09-30
136,Cookbook,Books,9,18.99,2024-12-20
137,Throw Pillow,Home,3,19.99,2024-06-02
138,Book Alpha,Books,19,9.99,2024-07-14
139,Desk Lamp,Home,7,34.99,2024-05-29
140,Novel X,Books,11,12.99,2024-08-07
141,Cookbook,Books,22,18.99,2024-10-23
142,Tool Basic,Hardware,24,19.99,2024-12-11
143,Gadget X,Home,2,14.99,2024-09-07
144,Desk Lamp,Home,22,34.99,2024-10-29
145,Widget A,Electronics,14,29.99,2024-06-14
146,Novel X,Books,13,12.99,2024-06-21
147,Widget B,Electronics,11,49.99,2024-05-22
148,Headphones,Electronics,9,59.99,2024-01-10
149,Novel X,Books,20,12.99,2024-12-17
150,Book Alpha,Books,23,9.99,2024-05-17
151,Novel X,Books,16,12.99,2024-02-04
152,Widget A,Electronics,7,29.99,2024-02-19
153,Widget A,Electronics,4,29.99,2024-01-26
154,Throw Pillow,Home,12,19.99,2024-01-02
155,Gadget Y,Home,7,24.99,2024-07-19
156,Drill Set,Hardware,9,89.99,2024-04-03
157,Novel X,Books,3,12.99,2024-08-20
158,Tool Pro,Hardware,12,79.99,2024-07-10
159,Widget A,Electronics,23,29.99,2024-09-05
160,Book Beta,Books,4,14.99,2024-09-15
161,Gadget Y,Home,18,24.99,2024-06-13
162,Book Alpha,Books,13,9.99,2024-08-17
163,Tool Pro,Hardware,25,79.99,2024-12-09
164,Gadget Y,Home,1,24.99,2024-01-08
165,Throw Pillow,Home,13,19.99,2024-02-22
166,Novel X,Books,17,12.99,2024-06-07
167,Book Beta,Books,2,14.99,2024-04-01
168,Phone Case,Electronics,9,12.99,2024-04-27
169,Novel X,Books,1,12.99,2024-09-18
170,Gadget Y,Home,21,24.99,2024-12-08
171,Widget B,Electronics,25,49.99,2024-06-04
172,Drill Set,Hardware,21,89.99,2024-07-18
173,Tool Basic,Hardware,14,19.99,2024-07-12
174,Headphones,Electronics,15,59.99,2024-10-10
175,Gadget Y,Home,4,24.99,2024-04-02
176,Wrench,Hardware,7,24.99,2024-02-24
177,Tool Pro,Hardware,1,79.99,2024-05-29
178,Drill Set,Hardware,19,89.99,2024-12-30
179,Throw Pillow,Home,20,19.99,2024-03-16
180,Drill Set,Hardware,16,89.99,2024-11-08
181,Wrench,Hardware,10,24.99,2024-11-06
182,Throw Pillow,Home,13,19.99,2024-02-15
183,Throw Pillow,Home,4,19.99,2024-11-04
184,Throw Pillow,Home,2,19.99,2024-10-05
185,Tool Pro,Hardware,12,79.99,2024-10-29
186,Headphones,Electronics,23,59.99,2024-02-22
187,Wrench,Hardware,22,24.99,2024-03-02
188,Novel X,Books,8,12.99,2024-10-03
189,Wrench,Hardware,17,24.99,2024-05-07
190,Gadget Y,Home,9,24.99,2024-08-03
191,Book Beta,Books,1,14.99,2024-07-19
192,Book Beta,Books,7,14.99,2024-12-21
193,Headphones,Electronics,14,59.99,2024-03-02
194,Widget B,Electronics,3,49.99,2024-04-20
195,Gadget X,Home,23,14.99,2024-12-26
196,Headphones,Electronics,14,59.99,2024-01-02
197,Wrench,Hardware,12,24.99,2024-08-06
198,Throw Pillow,Home,22,19.99,2024-09-03
199,Throw Pillow,Home,10,19.99,2024-06-03
200,Novel X,Books,3,12.99,2024-02-04
201,Headphones,Electronics,6,59.99,2024-03-31
202,Wrench,Hardware,8,24.99,2024-07-03
203,Gadget Y,Home,25,24.99,2024-05-06
204,Book Beta,Books,10,14.99,2024-06-25
205,Book Beta,Books,17,14.99,2024-06-30
206,Desk Lamp,Home,7,34.99,2024-03-05
207,Headphones,Electronics,16,59.99,2024-10-09
208,Gadget Y,Home,16,24.99,2024-12-02
209,Novel X,Books,22,12.99,2024-09-04
210,Gadget Y,Home,6,24.99,2024-08-04
211,Gadget Y,Home,19,24.99,2024-03-09
212,Tool Pro,Hardware,15,79.99,2024-07-09
213,Headphones,Electronics,14,59.99,2024-03-30
214,Phone Case,Electronics,21,12.99,2024-08-24
215,Book Alpha,Books,5,9.99,2024-05-16
216,Desk Lamp,Home,5,34.99,2024-05-23
217,Widget B,Electronics,20,49.99,2024-12-21
218,Gadget X,Home,23,14.99,2024-10-13
219,Cookbook,Books,2,18.99,2024-05-13
220,Phone Case,Electronics,22,12.99,2024-07-09
221,Headphones,Electronics,11,59.99,2024-05-10
222,Book Beta,Books,19,14.99,2024-02-20
223,Widget A,Electronics,6,29.99,2024-10-29
224,Wrench,Hardware,25,24.99,2024-08-24
225,Wrench,Hardware,4,24.99,2024-07-31
226,Novel X,Books,14,12.99,2024-12-16
227,Phone Case,Electronics,13,12.99,2024-01-02
228,Throw Pillow,Home,22,19.99,2024-02-28
229,Tool Basic,Hardware,4,19.99,2024-09-11
230,Gadget Y,Home,1,24.99,2024-05-22
231,Throw Pillow,Home,14,19.99,2024-12-29
232,Book Alpha,Books,8,9.99,2024-02-26
233,Gadget Y,Home,4,24.99,2024-12-31
234,Novel X,Books,25,12.99,2024-07-31
235,Tool Pro,Hardware,21,79.99,2024-06-02
236,Widget B,Electronics,19,49.99,2024-06-16
237,Phone Case,Electronics,10,12.99,2024-04-04
238,Widget B,Electronics,7,49.99,2024-07-16
239,Desk Lamp,Home,11,34.99,2024-08-16
240,Gadget Y,Home,16,24.99,2024-06-28
241,Gadget X,Home,23,14.99,2024-12-25
242,Book Alpha,Books,20,9.99,2024-07-09
243,Widget B,Electronics,15,49.99,2024-05-06
244,Book Beta,Books,16,14.99,2024-07-26
245,Headphones,Electronics,15,59.99,2024-06-09
246,Cookbook,Books,16,18.99,2024-12-01
247,Drill Set,Hardware,13,89.99,2024-01-26
248,Wrench,Hardware,1,24.99,2024-04-09
249,Tool Basic,Hardware,9,19.99,2024-05-20
250,Book Beta,Books,4,14.99,2024-04-18
251,Cookbook,Books,6,18.99,2024-09-19
252,Drill Set,Hardware,8,89.99,2024-11-03
253,Cookbook,Books,21,18.99,2024-10-20
254,Throw Pillow,Home,7,19.99,2024-07-03
255,Cookbook,Books,15,18.99,2024-06-28
256,Widget A,Electronics,21,29.99,2024-08-09
257,Desk Lamp,Home,23,34.99,2024-03-31
258,Headphones,Electronics,6,59.99,2024-03-20
259,Book Beta,Books,21,14.99,2024-10-19
260,Book Alpha,Books,25,9.99,2024-03-07
261,Novel X,Books,16,12.99,2024-11-04
262,Book Beta,Books,23,14.99,2024-05-18
263,Cookbook,Books,6,18.99,2024-10-18
264,Novel X,Books,16,12.99,2024-07-20
265,Cookbook,Books,17,18.99,2024-10-06
266,Wrench,Hardware,5,24.99,2024-09-10
267,Headphones,Electronics,4,59.99,2024-12-18
268,Headphones,Electronics,21,59.99,2024-06-07
269,Gadget Y,Home,25,24.99,2024-08-10
270,Cookbook,Books,6,18.99,2024-04-01
271,Headphones,Electronics,7,59.99,2024-06-21
272,Wrench,Hardware,1,24.99,2024-07-26
273,Tool Pro,Hardware,10,79.99,2024-11-21
274,Widget B,Electronics,3,49.99,2024-04-25
275,Cookbook,Books,3,18.99,2024-01-31
276,Book Beta,Books,15,14.99,2024-12-21
277,Drill Set,Hardware,2,89.99,2024-06-19
278,Throw Pillow,Home,25,19.99,2024-09-24
279,Cookbook,Books,2,18.99,2024-12-16
280,Cookbook,Books,23,18.99,2024-07-05
281,Cookbook,Books,17,18.99,2024-03-25
282,Phone Case,Electronics,24,12.99,2024-06-20
283,Book Alpha,Books,24,9.99,2024-04-13
284,Throw Pillow,Home,18,19.99,2024-12-19
285,Desk Lamp,Home,20,34.99,2024-11-15
286,Gadget Y,Home,22,24.99,2024-11-17
287,Cookbook,Books,24,18.99,2024-08-16
288,Book Beta,Books,13,14.99,2024-06-04
289,Widget A,Electronics,2,29.99,2024-01-03
290,Phone Case,Electronics,2,12.99,2024-06-21
291,Gadget Y,Home,17,24.99,2024-02-14
292,Tool Basic,Hardware,4,19.99,2024-06-09
293,Phone Case,Electronics,15,12.99,2024-06-02
294,Drill Set,Hardware,12,89.99,2024-08-12
295,Tool Basic,Hardware,12,19.99,2024-09-08
296,Widget B,Electronics,3,49.99,2024-06-23
297,Novel X,Books,3,12.99,2024-11-14
298,Novel X,Books,6,12.99,2024-03-31
299,Headphones,Electronics,3,59.99,2024-12-20
300,Drill Set,Hardware,2,89.99,2024-01-23
